	weight	height	watch_brandName	watch_family	watch_model	artist	city	state	metric_length	h	s	l	height_feet	track_id	album_id
141							El Centro	California		141				1485832002	256669862
142							El Cerrito	California		142				1828980687	336946897
143							El Monte	California		143				5786279	527811
144							Escondido	California		144				921959412	140119072
145							Eureka	California		145				12793244	1173937
146							Fairfield	California		146				133105770	14168384
147							Fontana	California		147				133098890	14167560
148							Fremont	California		148				4469062	413579
149							Fresno	California		149				2473226261	493172891
150							Fullerton	California		150				834493112	123416212
151							Garden Grove	California		151				1333536492	221597192
152							Glendale	California		152				1564293372	275002282
153							Hayward	California		153				133100758	14167724
154							Hollywood	California		154				3058860	296551
155							Huntington Beach	California		155				1473637652	253894082
156							Indio	California		156				2269038607	437584137
157							Inglewood	California		157				984760432	153152512
158							Irvine	California		158				2213136617	422956667
159							La Habra	California		159				133565606	14227860
160							Laguna Beach	California		160				1666999932	298439642
161							Lancaster	California		161				1856574817	344093307
162							Livermore	California		162				1903025507	354154157
163							Lodi	California		163				2466007955	491145825
164							Lompoc	California		164				1386349692	42218611
165							Long Beach	California		165				2310184005	448624185
166							Los Angeles	California		166				1118866172	181610322
167							Malibu	California		167				2228326177	427144247
168							Martinez	California		168				2454823085	488058975
169							Marysville	California		169				979042	108938
170							Menlo Park	California		170				7553494	696883
171							Merced	California		171				1572829	161245
172							Modesto	California		172				626120	78302
173							Monterey	California		173				1145140	122725
174							Mountain View	California		174				76443647	7580262
175							Napa	California		175				3482138	330068
176							Needles	California		176				1433002022	244121902
177							Newport Beach	California		177				4673735	430335
178							Norwalk	California		178				2062025287	385043717
179							Novato	California		179				2477002321	494049121
180							Oakland	California		180				1656777432	295867722
181							Oceanside	California		181				2472446271	493007221
182							Ojai	California		182				1939687447	361798447
183							Ontario	California		183				2118953377	399201497
184							Orange	California		184				2483737141	496097811
185							Oroville	California		185				556412792	73454022
186							Oxnard	California		186				1780653287	325146797
187							Pacific Grove	California		187				2086327587	390622077
188							Palm Springs	California		188				1869796167	347140547
189							Palmdale	California		189				1811673837	332404227
190							Palo Alto	California		190				2426112	239091
191							Pasadena	California		191				1667129642	298475242
192							Petaluma	California		192				561855832	74434892
193							Pomona	California		193				2449374905	486743225
194							Port Hueneme	California		194				1151147	123339
195							Rancho Cucamonga	California		195				2395982515	472280335
196							Red Bluff	California		196				1860990547	345039647
197							Redding	California		197				2397000745	472558115
198							Redlands	California		198				2430344	239467
199							Redondo Beach	California		199				2235881327	429150507
200							Redwood City	California		200				1852410267	343067617
201							Richmond	California		201				1554232012	272819282
202							Riverside	California		202				712049302	103574322
203							Roseville	California		203				1365985022	228464792
204							Sacramento	California		204				2129935047	402129037
205							Salinas	California		205				2328018705	453491955
206							San Bernardino	California		206				1164095	124675
207							San Clemente	California		207				2474853941	493606251
208							San Diego	California		208				1993453887	371645417
209							San Fernando	California		209				2223000137	425695607
210							San Francisco	California		210				7562986	697807
211							San Gabriel	California		211				1386356612	233425712
212							San Jose	California		212				1353091932	225259442
213							San Juan Capistrano	California		213				2147523427	406965397
214							San Leandro	California		214				99036546	10134446
215							San Luis Obispo	California		215				1253688062	209872762
216							San Marino	California		216				2355140875	461041565
217							San Mateo	California		217				6280814	574941
218							San Pedro	California		218				2152806007	408377867
219							San Rafael	California		219				882293	100164
220							San Simeon	California		220				2473226121	493172891
221							Santa Ana	California		221				634430482	87715652
222							Santa Barbara	California		222				1577408	161755
223							Santa Clara	California		223				2947346	286433
224							Santa Clarita	California		224				2241443	224070
225							Santa Cruz	California		225				2487491231	497187371
226							Santa Monica	California		226				1362258382	227538332
227							Santa Rosa	California		227				2010826057	374536057
228							Sausalito	California		228				2140694037	405127037
229							Simi Valley	California		229				2177721167	414350727
230							Sonoma	California		230				88961199	8993173
231							South San Francisco	California		231				2367209035	464258595
232							Stockton	California		232				2389465595	470477045
233							Sunnyvale	California		233				731718832	107481342
234							Susanville	California		234				1872634217	347804807
235							Thousand Oaks	California		235				2376904875	466975315
236							Torrance	California		236				2480094241	494996961
237							Turlock	California		237				7512095	692686
238							Ukiah	California		238				1721538247	311134487
239							Vallejo	California		239				6880988	635718
240							Ventura	California		240				2472800431	493074031
241							Victorville	California		241				2485278261	496521451
242							Visalia	California		242				2024034997	377221887
243							Walnut Creek	California		243				2469841385	492284355
244							Watts	California		244				634477262	87723092
245							West Covina	California		245				70584820	6929302
246							Whittier	California		246				1955691537	364610367
247							Woodland	California		247				979050	108938
248							Yorba Linda	California		248				1572847	161245
249							Yuba City	California		249				366445231	42218611
